,Titulo,Enlace
153,"Movimiento, autonomo",https://www.youtube.com/embed/Ofw4l1dufxk?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
154,Boton placa,https://www.youtube.com/embed/gJwajmRuQfs
155,Temporizador,https://www.youtube.com/embed/fN6ZqCXbQD8?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
156,Ejercicio leds,https://www.youtube.com/embed/CAEbFrzYj7k?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
157,Placa y variable,https://www.youtube.com/embed/_WW6igCmsQ8?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
158,Sensor ultrasonidos,https://www.youtube.com/embed/n9W9No1BIco?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
159,Detectando obstaculos,https://www.youtube.com/embed/NgTB4s_1BK0?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
160,mBot nos sigue,https://www.youtube.com/embed/Gq4iHZ2OzPQ?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
161,Sigue lineas,https://www.youtube.com/embed/zTmzvC6F2pI?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
162,Barrera luz,https://www.youtube.com/embed/AP1DZ1SvoSo?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
163,Mando infrarojos,https://www.youtube.com/embed/JaU4DNvNVbE?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
164,Guardando datos sensor,https://www.youtube.com/embed/wt34hqQUj-A?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
165,Ejercicio adivina numero,https://www.youtube.com/embed/CPQj0fCVt-E?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
166,Detecta suelo,https://www.youtube.com/embed/R7B2e7SGRa0?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
167,Modificaciones a adivina numero,https://www.youtube.com/embed/IEZa9t3NsD0?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
168,Sensor iluminacion,https://www.youtube.com/embed/R-oGBQYa9FE?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
169,Comenzando con Dart,https://www.youtube.com/embed/7hAfzPpRvMo?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
170,Tipos datos basicos,https://www.youtube.com/embed/V99rOejDCak?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
171,Bucles y condiciones,https://www.youtube.com/embed/YJ0idWXWAeo?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
172,Clases,https://www.youtube.com/embed/dHCFz7GIuAg?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
173,Clases abstractas,https://www.youtube.com/embed/8WgN657eGzs?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
174,Imports,https://www.youtube.com/embed/dP6QjCYA1EQ?list=PLhr9YdZStgI1TOxvw7KEF4OzduyGr6FBD
175,Introduccion Contabilidad,https://www.youtube.com/embed/LH-IWf1n3yo?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
176,Hechos contables,https://www.youtube.com/embed/I6PljIZWm5A?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
177,Leyes de cuentas,https://www.youtube.com/embed/gVob6gnspBE?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
178,Gastos e ingresos,https://www.youtube.com/embed/GGFERJVZgGI?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
179,Instalacion de contasol,https://www.youtube.com/embed/RcD9ECsNvTg?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
180,Ejemplo con contasol,https://www.youtube.com/embed/ubYAdwPetqc?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
181,Arqueo de caja,https://www.youtube.com/embed/A2YLpGnGLlU?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
182,BuscarV - BuscarH,https://www.youtube.com/embed/98E8ZYQclWI?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
183,Cuadro amortizacion,https://www.youtube.com/embed/TPeBYciy-bo?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
184,Macros,https://www.youtube.com/embed/lAsQssowhBU?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
185,Existencias,https://www.youtube.com/embed/CuGRYbfrHvU?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
186,Plan General de contabilidad,https://www.youtube.com/embed/jUpJJziw-K8?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
187,Etapas del proceso contable,https://www.youtube.com/embed/XaTqd07nVU8?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
188,"Supuesto practico, balance",https://www.youtube.com/embed/iIMyIUjO7AE?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
189,Tesoreria,https://www.youtube.com/embed/4REoZtGoWB4?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
190,Supuesto practico,https://www.youtube.com/embed/pECnJ15G5dE?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
191,IVA,https://www.youtube.com/embed/MQKx2jGLWr4?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
192,Acreedores / Deudores,https://www.youtube.com/embed/M4K1Df7RllA?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
193,Supuesto 03. Carreras,https://www.youtube.com/embed/HieedBSdloM?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
194,Efectos comerciales,https://www.youtube.com/embed/A-Bvphprxa4?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
195,"Supuesto 04, ContaSA",https://www.youtube.com/embed/aoE2w03KZls?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
196,Activo inmovilizado,https://www.youtube.com/embed/1gqxJcIs-so?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
197,"Supuesto 05, MaSA",https://www.youtube.com/embed/Z48WDwfNIZ8?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
198,"Supuesto 06, ConstanSA",https://www.youtube.com/embed/I2RO2VhjwTE?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
199,Inversiones financieras,https://www.youtube.com/embed/vM4YBC6MsZ4?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
200,"Supuesto 07, LimpieSA",https://www.youtube.com/embed/E5V8cyTvp4U?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
201,Fuentes de financiacion,https://www.youtube.com/embed/dyaxk-PWncs?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
202,Supuesto 08. Amortizacion,https://www.youtube.com/embed/T4wlQuVmXYQ?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
203,Supuesto 09. Cierre y apertura,https://www.youtube.com/embed/-NpZh1062tg?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
204,Supuesto 10. Cobros y pagos,https://www.youtube.com/embed/uzAsAo4XVoM?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
205,Supuesto 11. Conciliacion bancaria,https://www.youtube.com/embed/GjSVKK3MCrE?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
206,Supuesto 12. IVA,https://www.youtube.com/embed/YMenenA3TJM?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
207,Supuesto 13. IVA continuacion,https://www.youtube.com/embed/QeAfVIuh4X4?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
208,Supuesto 14. Nominas,https://www.youtube.com/embed/tWpiYodpe5U?list=PLhr9YdZStgI3gWNzYz2vJXhsfCP51IKZy
